year,make,model,trim,design_number
2026,BUICK,ENCORE GX,ESSENCE,F1380-100
2026,BUICK,ENCORE GX,ESSENCE,F1380-227
2026,BUICK,ENCORE GX,ESSENCE,K2484-100
2026,BUICK,ENCORE GX,ESSENCE,K2484-227
2026,BUICK,ENCORE GX,ESSENCE,K2485-100
2026,BUICK,ENCORE GX,ESSENCE,K2485-227
2026,BUICK,ENCORE GX,ESSENCE,K2486-100
2026,BUICK,ENCORE GX,ESSENCE,K2486-227
2026,BUICK,ENCORE GX,ESSENCE,K2487-100
2026,BUICK,ENCORE GX,ESSENCE,K2487-227
2026,BUICK,ENCORE GX,ESSENCE,K2488-100
2026,BUICK,ENCORE GX,ESSENCE,K2489-100
2026,BUICK,ENCORE GX,ESSENCE,K2490-100
2026,BUICK,ENCORE GX,ESSENCE,K2490-227
2026,BUICK,ENCORE GX,ESSENCE,K2490-232
2026,BUICK,ENCORE GX,ESSENCE,K2491-100
2026,BUICK,ENCORE GX,ESSENCE,K2492-100
2026,BUICK,ENCORE GX,PREFERRED,F1380-100
2026,BUICK,ENCORE GX,PREFERRED,F1380-227
2026,BUICK,ENCORE GX,PREFERRED,K2484-100
2026,BUICK,ENCORE GX,PREFERRED,K2484-227
2026,BUICK,ENCORE GX,PREFERRED,K2485-100
2026,BUICK,ENCORE GX,PREFERRED,K2485-227
2026,BUICK,ENCORE GX,PREFERRED,K2486-100
2026,BUICK,ENCORE GX,PREFERRED,K2486-227
2026,BUICK,ENCORE GX,PREFERRED,K2487-100
2026,BUICK,ENCORE GX,PREFERRED,K2487-227
2026,BUICK,ENCORE GX,PREFERRED,K2488-100
2026,BUICK,ENCORE GX,PREFERRED,K2489-100
2026,BUICK,ENCORE GX,PREFERRED,K2490-100
2026,BUICK,ENCORE GX,PREFERRED,K2490-227
2026,BUICK,ENCORE GX,PREFERRED,K2490-232
2026,BUICK,ENCORE GX,PREFERRED,K2491-100
2026,BUICK,ENCORE GX,PREFERRED,K2492-100
2026,BUICK,ENCORE GX,SELECT,F1380-100
2026,BUICK,ENCORE GX,SELECT,F1380-227
2026,BUICK,ENCORE GX,SELECT,K2484-100
2026,BUICK,ENCORE GX,SELECT,K2484-227
2026,BUICK,ENCORE GX,SELECT,K2485-100
2026,BUICK,ENCORE GX,SELECT,K2485-227
2026,BUICK,ENCORE GX,SELECT,K2486-100
2026,BUICK,ENCORE GX,SELECT,K2486-227
2026,BUICK,ENCORE GX,SELECT,K2487-100
2026,BUICK,ENCORE GX,SELECT,K2487-227
2026,BUICK,ENCORE GX,SELECT,K2488-100
2026,BUICK,ENCORE GX,SELECT,K2489-100
2026,BUICK,ENCORE GX,SELECT,K2490-100
2026,BUICK,ENCORE GX,SELECT,K2490-227
2026,BUICK,ENCORE GX,SELECT,K2490-232
2026,BUICK,ENCORE GX,SELECT,K2491-100
2026,BUICK,ENCORE GX,SELECT,K2492-100
2026,BUICK,ENCORE GX,SPORT TOURING,F1380-100
2026,BUICK,ENCORE GX,SPORT TOURING,F1380-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2484-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2484-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2485-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2485-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2486-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2486-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2487-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2487-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2488-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2489-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2490-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2490-227
2026,BUICK,ENCORE GX,SPORT TOURING,K2490-232
2026,BUICK,ENCORE GX,SPORT TOURING,K2491-100
2026,BUICK,ENCORE GX,SPORT TOURING,K2492-100
2026,BUICK,ENCORE GX,ESSENCE,F1380-100
2026,BUICK,ENCORE GX,ESSENCE,F1380-227
2026,BUICK,ENCORE GX,ESSENCE,K2484-100
2026,BUICK,ENCORE GX,ESSENCE,K2484-227
2026,BUICK,ENCORE GX,ESSENCE,K2485-100
2026,BUICK,ENCORE GX,ESSENCE,K2485-227
2026,BUICK,ENCORE GX,ESSENCE,K2486-100
2026,BUICK,ENCORE GX,ESSENCE,K2486-227
2026,BUICK,ENCORE GX,ESSENCE,K2487-100
2026,BUICK,ENCORE GX,ESSENCE,K2487-227
2026,BUICK,ENCORE GX,ESSENCE,K2488-100
2026,BUICK,ENCORE GX,ESSENCE,K2489-100
2026,BUICK,ENCORE GX,ESSENCE,K2490-100
2026,BUICK,ENCORE GX,ESSENCE,K2490-227
2026,BUICK,ENCORE GX,ESSENCE,K2490-232
2026,BUICK,ENCORE GX,ESSENCE,K2491-100
2026,BUICK,ENCORE GX,ESSENCE,K2492-100
2026,CHEVROLET,COLORADO,LT,F1447-100
2026,CHEVROLET,COLORADO,LT,K3388-100
2026,CHEVROLET,COLORADO,LT,K3388-102
2026,CHEVROLET,COLORADO,LT,K3388-103
