Handle,Title,SKU,Old Image,New Image
k1384-100-ford-ecosport-2018-2022-k4-0,Custom Design K4 for Ford ECOSPORT SE 2018 - 2022,K1384-100,https://services.leadconnectorhq.com/documents/download/ENPLxtqaVbohgNUBjnvB,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4379294...
f1248-100-ford-ecosport-2018-2022-f1-1,Factory Design F1 for Ford ECOSPORT SE 2018 - 2022,F1248-100,https://services.leadconnectorhq.com/documents/download/jZmn5vjDnGfnVg5afshI,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4e519ed...
f1248-110-ford-ecosport-2018-2022-f2-2,Factory Design F2 for Ford ECOSPORT SE 2018 - 2022,F1248-110,https://services.leadconnectorhq.com/documents/download/UckIlIocZSKAERVWj1DC,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e413c4b6...
k1381-100-ford-ecosport-2018-2022-k1-3,Custom Design K1 for Ford ECOSPORT SE 2018 - 2022,K1381-100,https://services.leadconnectorhq.com/documents/download/cT2ecrTQSRmunTzNKRmn,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41870f4...
k1382-100-ford-ecosport-2018-2022-k2-4,Custom Design K2 for Ford ECOSPORT SE 2018 - 2022,K1382-100,https://services.leadconnectorhq.com/documents/download/tKWYJiFGVO1dCpENLnmf,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc...
k1383-100-ford-ecosport-2018-2022-k3-5,Custom Design K3 for Ford ECOSPORT SE 2018 - 2022,K1383-100,https://services.leadconnectorhq.com/documents/download/9goNiRBvpLIi8IyPWIBb,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41870f4...
k1385-100-ford-ecosport-2018-2022-k5-6,Custom Design K5 for Ford ECOSPORT SE 2018 - 2022,K1385-100,https://services.leadconnectorhq.com/documents/download/xqAmfpJrIstf530NnC4m,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b5...
k1386-100-ford-ecosport-2018-2022-k6-7,Custom Design K6 for Ford ECOSPORT SE 2018 - 2022,K1386-100,https://services.leadconnectorhq.com/documents/download/JtXXDX9V5sHKD8YRsrlK,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4e519ed...
k1387-100-ford-ecosport-2018-2022-k7-8,Custom Design K7 for Ford ECOSPORT SE 2018 - 2022,K1387-100,https://services.leadconnectorhq.com/documents/download/ZSCUpLjEEl1aOsajBSWB,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc...
k1388-100-ford-ecosport-2018-2022-k8-9,Custom Design K8 for Ford ECOSPORT SE 2018 - 2022,K1388-100,https://services.leadconnectorhq.com/documents/download/N76DN0dzdhoYo7kv9uyo,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e413c4b6...
k1381-110-ford-ecosport-2018-2022-k9-10,Custom Design K9 for Ford ECOSPORT SE 2018 - 2022,K1381-110,https://services.leadconnectorhq.com/documents/download/4L2Qs9PV4imcbYoI5aqX,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4379294...
k1382-110-ford-ecosport-2018-2022-k10-11,Custom Design K10 for Ford ECOSPORT SE 2018 - 2022,K1382-110,https://services.leadconnectorhq.com/documents/download/y2QffKbscGooOLAUvxyO,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc...
k1383-110-ford-ecosport-2018-2022-k11-12,Custom Design K11 for Ford ECOSPORT SE 2018 - 2022,K1383-110,https://services.leadconnectorhq.com/documents/download/PBiUsS0ffrheaCAquQUg,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b5...
k1389-100-ford-ecosport-2018-2022-k12-13,Custom Design K12 for Ford ECOSPORT SE 2018 - 2022,K1389-100,https://services.leadconnectorhq.com/documents/download/Xa1bQLmHHWNW2G6RccA2,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4c5f22a...
k1390-100-ford-ecosport-2018-2022-k13-14,Custom Design K13 for Ford ECOSPORT SE 2018 - 2022,K1390-100,https://services.leadconnectorhq.com/documents/download/MJEvM9QuIZcUfjgLPsJD,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b5...
f169-100-ford-c-max-2017-f1-15,Factory Design F1 for Ford C-Max 2017,F169-100,https://services.leadconnectorhq.com/documents/download/sxl4RXES12xrb1A7r8Ot,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4ecfc467...
k620-100-ford-c-max-2017-16,Custom Design (CMAX) for Ford C-Max 2017,K620-100,https://services.leadconnectorhq.com/documents/download/iHG91ShSfdbvy6wyDsx0,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4e1d86b0...
k619-100-ford-c-max-2017-17,Custom Design (CMAX) for Ford C-Max 2017,K619-100,https://services.leadconnectorhq.com/documents/download/0osZvkk9YtrpKT3vOoZl,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4fe519ed...
k615-100-ford-c-max-2017-18,Custom Design (CMAX) for Ford C-Max 2017,K615-100,https://services.leadconnectorhq.com/documents/download/qEYaP6MsXr2IZxYAEglf,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4f1ff3b5...
k618-100-ford-c-max-2017-19,Custom Design (CMAX) for Ford C-Max 2017,K618-100,https://services.leadconnectorhq.com/documents/download/Wycgx7b9NfPILNVDjCpa,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4ec5f22a...
k617-100-ford-c-max-2017-20,Custom Design (CMAX) for Ford C-Max 2017,K617-100,https://services.leadconnectorhq.com/documents/download/coYUvSw2xwsbVabjhRtc,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e56e4f13c4b6...
