Handle,Title,Body (HTML),Included in Online Store,Image Src,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Price,Variant Compare At Price,Track Inventory,Allow Out of Stock Purchases,Available Quantity,SKU,Weight Value,Weight Unit,Dimension Length,Dimension Width,Dimension Height,Dimension Unit,Product Label Enable,Label Title,Label Start Date,Label End Date,SEO Title,SEO Description
k1384-100-ford-ecosport-2018-2022-k4-0,Custom Design K4 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1384-100</strong></p><ul><li>Black wrap</li><li>Barracuda Orange insert</li><li>Orange contrast all stitch</li><li>Orange piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/ENPLxtqaVbohgNUBjnvB,Make,Ford,Model,ECOSPORT,Trim,SE K1384-100,1895.00,,FALSE,TRUE,,K1384-100,,,,,,,FALSE,,,,Custom Design K4 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Orange insert
 Orange contrast all stitch
 Orange piping"
f1248-100-ford-ecosport-2018-2022-f1-1,Factory Design F1 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: F1248-100</strong></p><ul><li>Black wrap</li><li>Black stitching</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/jZmn5vjDnGfnVg5afshI,Make,Ford,Model,ECOSPORT,Trim,SE F1248-100,1895.00,,FALSE,TRUE,,F1248-100,,,,,,,FALSE,,,,Factory Design F1 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Black stitching"
f1248-110-ford-ecosport-2018-2022-f2-2,Factory Design F2 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: F1248-110</strong></p><ul><li>Puddy wrap</li><li>Puddy stitching</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/UckIlIocZSKAERVWj1DC,Make,Ford,Model,ECOSPORT,Trim,SE F1248-110,1895.00,,FALSE,TRUE,,F1248-110,,,,,,,FALSE,,,,Factory Design F2 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Puddy stitching"
k1381-100-ford-ecosport-2018-2022-k1-3,Custom Design K1 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1381-100</strong></p><ul><li>Black wrap</li><li>perf wings</li><li>Silver contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/cT2ecrTQSRmunTzNKRmn,Make,Ford,Model,ECOSPORT,Trim,SE K1381-100,1895.00,,FALSE,TRUE,,K1381-100,,,,,,,FALSE,,,,Custom Design K1 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf wings
 Silver contrast all stitch"
k1382-100-ford-ecosport-2018-2022-k2-4,Custom Design K2 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1382-100</strong></p><ul><li>Black wrap</li><li>perf wings</li><li>Cobalt contrast all stitch</li><li>Cobalt piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/tKWYJiFGVO1dCpENLnmf,Make,Ford,Model,ECOSPORT,Trim,SE K1382-100,1895.00,,FALSE,TRUE,,K1382-100,,,,,,,FALSE,,,,Custom Design K2 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf wings
 Cobalt contrast all stitch
 Cobalt piping"
k1383-100-ford-ecosport-2018-2022-k3-5,Custom Design K3 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1383-100</strong></p><ul><li>Black wrap</li><li>Medium Red faces</li><li>perf wings</li><li>Medium Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/9goNiRBvpLIi8IyPWIBb,Make,Ford,Model,ECOSPORT,Trim,SE K1383-100,1895.00,,FALSE,TRUE,,K1383-100,,,,,,,FALSE,,,,Custom Design K3 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Medium Red faces
 perf wings
 Medium Red contrast all stitch"
k1385-100-ford-ecosport-2018-2022-k5-6,Custom Design K5 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1385-100</strong></p><ul><li>Black wrap</li><li>Alabaster perf wings</li><li>Alabaster contrast all stitch</li><li>Alabaster piping</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/xqAmfpJrIstf530NnC4m,Make,Ford,Model,ECOSPORT,Trim,SE K1385-100,1895.00,,FALSE,TRUE,,K1385-100,,,,,,,FALSE,,,,Custom Design K5 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Alabaster perf wings
 Alabaster contrast all stitch
 Alabaster piping"
k1386-100-ford-ecosport-2018-2022-k6-7,Custom Design K6 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1386-100</strong></p><ul><li>Black wrap</li><li>perf body</li><li>Fog Suedezkin wings</li><li>Ash contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/JtXXDX9V5sHKD8YRsrlK,Make,Ford,Model,ECOSPORT,Trim,SE K1386-100,1895.00,,FALSE,TRUE,,K1386-100,,,,,,,FALSE,,,,Custom Design K6 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf body
 Fog Suedezkin wings
 Ash contrast all stitch"
k1387-100-ford-ecosport-2018-2022-k7-8,Custom Design K7 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1387-100</strong></p><ul><li>Black wrap</li><li>Barracuda Red insert</li><li>Red wings</li><li>Red contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/ZSCUpLjEEl1aOsajBSWB,Make,Ford,Model,ECOSPORT,Trim,SE K1387-100,1895.00,,FALSE,TRUE,,K1387-100,,,,,,,FALSE,,,,Custom Design K7 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Red insert
 Red wings
 Red contrast all stitch"
k1388-100-ford-ecosport-2018-2022-k8-9,Custom Design K8 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1388-100</strong></p><ul><li>Black wrap</li><li>Ash center</li><li>Ash perf wings</li><li>Ash contrast all stitch</li></ul>,TRUE,https://services.leadconnectorhq.com/documents/download/N76DN0dzdhoYo7kv9uyo,Make,Ford,Model,ECOSPORT,Trim,SE K1388-100,1895.00,,FALSE,TRUE,,K1388-100,,,,,,,FALSE,,,,Custom Design K8 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Ash center
 Ash perf wings
 Ash contrast all stitch"
