Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
k1384-100-ford-ecosport-2018-2022-k4-0,Custom Design K4 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1384-100</strong></p><ul><li>Black wrap</li><li>Barracuda Orange insert</li><li>Orange contrast all stitch</li><li>Orange piping</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1384-100,K1384-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e43792940584e1cf02.jpeg,1,,False,Custom Design K4 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Orange insert
 Orange contrast all stitch
 Orange piping",,,,,,,,,,,True,,,True,,,active
f1248-100-ford-ecosport-2018-2022-f1-1,Factory Design F1 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: F1248-100</strong></p><ul><li>Black wrap</li><li>Black stitching</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE F1248-100,F1248-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4e519ed601222e117.jpeg,1,,False,Factory Design F1 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Black stitching",,,,,,,,,,,True,,,True,,,active
f1248-110-ford-ecosport-2018-2022-f2-2,Factory Design F2 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: F1248-110</strong></p><ul><li>Puddy wrap</li><li>Puddy stitching</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE F1248-110,F1248-110,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e413c4b655cc0d247c.jpeg,1,,False,Factory Design F2 for Ford ECOSPORT SE 2018 - 2022,"Puddy wrap
 Puddy stitching",,,,,,,,,,,True,,,True,,,active
k1381-100-ford-ecosport-2018-2022-k1-3,Custom Design K1 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1381-100</strong></p><ul><li>Black wrap</li><li>perf wings</li><li>Silver contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1381-100,K1381-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41870f4383c4174e7.jpeg,1,,False,Custom Design K1 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf wings
 Silver contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1382-100-ford-ecosport-2018-2022-k2-4,Custom Design K2 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1382-100</strong></p><ul><li>Black wrap</li><li>perf wings</li><li>Cobalt contrast all stitch</li><li>Cobalt piping</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1382-100,K1382-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc0a1d9d6655.jpeg,1,,False,Custom Design K2 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf wings
 Cobalt contrast all stitch
 Cobalt piping",,,,,,,,,,,True,,,True,,,active
k1383-100-ford-ecosport-2018-2022-k3-5,Custom Design K3 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1383-100</strong></p><ul><li>Black wrap</li><li>Medium Red faces</li><li>perf wings</li><li>Medium Red contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1383-100,K1383-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41870f41a934174e6.jpeg,1,,False,Custom Design K3 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Medium Red faces
 perf wings
 Medium Red contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1385-100-ford-ecosport-2018-2022-k5-6,Custom Design K5 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1385-100</strong></p><ul><li>Black wrap</li><li>Alabaster perf wings</li><li>Alabaster contrast all stitch</li><li>Alabaster piping</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1385-100,K1385-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e41ff3b50b57fd7275.jpeg,1,,False,Custom Design K5 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Alabaster perf wings
 Alabaster contrast all stitch
 Alabaster piping",,,,,,,,,,,True,,,True,,,active
k1386-100-ford-ecosport-2018-2022-k6-7,Custom Design K6 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1386-100</strong></p><ul><li>Black wrap</li><li>perf body</li><li>Fog Suedezkin wings</li><li>Ash contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1386-100,K1386-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e4e519ed2ef822e118.jpeg,1,,False,Custom Design K6 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 perf body
 Fog Suedezkin wings
 Ash contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1387-100-ford-ecosport-2018-2022-k7-8,Custom Design K7 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1387-100</strong></p><ul><li>Black wrap</li><li>Barracuda Red insert</li><li>Red wings</li><li>Red contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1387-100,K1387-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e46c46cc72bb9d6654.jpeg,1,,False,Custom Design K7 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Barracuda Red insert
 Red wings
 Red contrast all stitch",,,,,,,,,,,True,,,True,,,active
k1388-100-ford-ecosport-2018-2022-k8-9,Custom Design K8 for Ford ECOSPORT SE 2018 - 2022,<p><strong>Design Number: K1388-100</strong></p><ul><li>Black wrap</li><li>Ash center</li><li>Ash perf wings</li><li>Ash contrast all stitch</li></ul>,,,,,False,Make,Ford,Model,ECOSPORT,Trim,SE K1388-100,K1388-100,,,,deny,manual,1895.0,,True,True,,https://storage.googleapis.com/msgsndr/dC0ujeVga1kZlZsLqjZz/media/67e573e413c4b6107f0d247b.jpeg,1,,False,Custom Design K8 for Ford ECOSPORT SE 2018 - 2022,"Black wrap
 Ash center
 Ash perf wings
 Ash contrast all stitch",,,,,,,,,,,True,,,True,,,active
